Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
realme 15 pro plus,79,4.65,37990,upcoming,octa core processor,,,12 gb ram,256 gb inbuilt,5700mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.7 inch,"1080 x 2412 px, 144 Hz",with punch hole,memory card not supported,android v15,50 mp quad rear & 50 mp front camera,https://cdn1.smartprix.com/rx-if5kwaab7-w280-h280/realme-15-pro-plus.webp
infinix note 15 pro 5g,84,4.45,19990,rumored,dimensity 6100 plus,octa core,2.2 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 66W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.8 inch,"1080 x 2400 px, 144 Hz",with punch hole,"memory card supported, upto 2 tb",android v14,108 mp + 32 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ijhihk546-w280-h280/infinix-note-15-pro.webp
vivo v50 pro 5g,87,4.2,54990,rumored,dimensity 9300,octa core,3.25 ghz processor GHz,8 gb ram,256 gb inbuilt,5700mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.8 inch,"1260 x 2800 px, 144 Hz",with punch hole,memory card not supported,android v15,50 mp quad rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ihcwhkeq6-w280-h280/vivo-v50-pro-5g.webp
oneplus 14,83,4.15,69990,rumored,octa core processor,,,12 gb ram,256 gb inbuilt,6500mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.82 inch,"1440 x 3168 px, 144 Hz",with punch hole,memory card not supported,android v15,50 mp quad rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ih0mtdyms-w280-h280/oneplus-14.webp
ai+ nova 5g,71,4.5,9999,upcoming,octa core processor,,,8 gb ram,128 gb inbuilt,5000mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.78 inch,"2400 x 1200 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,50 mp + 8 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-ieen9vdzg-w280-h280/ai-nova-5g.webp
samsung galaxy a17,74,4.1,24990,rumored,octa core processor,,,6 gb ram,128 gb inbuilt,5000mAh 25W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.74 inch,"1080 x 2340 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v15,50 mp + 12 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ieiie54uq-w280-h280/samsung-galaxy-a17.webp
tecno pop 10 5g,74,4.0,7999,rumored,dimensity 7025,octa core,2.5 ghz processor GHz,4 gb ram,128 gb inbuilt,5100mAh,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.67 inch,"720 x 1612 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,50 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-ik9vbwtud-w280-h280/tecno-pop-10-5g.webp
lava storm play 5g (8gb ram + 256gb),77,4.05,12999,upcoming,dimensity 7060,octa core,2.6 ghz processor GHz,8 gb ram,256 gb inbuilt,5000mAh 18W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.75 inch,"720 x 1600 px, 120 Hz",no punch hole,"memory card (hybrid), upto 1 tb",android v15,50 mp + 2 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-if8zezcyd-w280-h280/lava-storm-play-5g-8.webp
tecno pova 7 5g,80,4.05,20999,upcoming,dimensity 7300,octa core,2.5 ghz processor GHz,8 gb ram,256 gb inbuilt,6000mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.82 inch,"1080 x 2400 px, 144 Hz",no punch hole,"memory card supported, upto 1 tb",android v14,108 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-irgki4z1j-w280-h280/tecno-pova-7-5g.webp
tesla pi phone,82,4.2,69999,rumored,octa core processor,,,16 gb ram,512 gb inbuilt,5000mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.73 inch,"1080 x 2448 px, 165 Hz",no punch hole,memory card not supported,android v13,50 mp + 50 mp + 50 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-igoxm4mis-w280-h280/tesla-pi-phone.webp
oppo f31 pro 5g,75,4.55,26990,rumored,octa core processor,,,8 gb ram,256 gb inbuilt,5500mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.78 inch,"1080 x 2412 px, 120 Hz",with punch hole,"memory card (hybrid), upto 2 tb",android v16,50 mp + 8 mp + 2 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-itqarpdh8-w280-h280/oppo-f31-pro-5g.webp
vivo t5x 5g,74,4.1,15990,rumored,dimensity 7400,octa core processor,,8 gb ram,128 gb inbuilt,6700mAh 67W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.82 inch,"1080 x 2408 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v16,50 mp + 2 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-imgynvcdy-w280-h280/vivo-t5x-5g.webp
motorola moto g56 5g,82,4.55,15990,upcoming,dimensity 7060,octa core,2.6 ghz processor GHz,8 gb ram,256 gb inbuilt,5200mAh 30W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.72 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v15,50 mp + 8 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-inxn5ajyx-w280-h280/motorola-moto-g56-5g.webp
vivo y400,81,4.2,29990,rumored,snapdragon 6 gen1,octa core,2.2 ghz processor GHz,8 gb ram,256 gb inbuilt,5500mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.78 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 2 tb",android v15,50 mp + 2 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ikf2lf5dy-w280-h280/vivo-y400.webp
motorola moto g76 5g,79,4.65,18990,rumored,dimensity 7300,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,memory card not supported,android v14,50 mp + 13 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-iqt9xih1v-w280-h280/motorola-moto-g76-5g.webp
vivo y19s,72,4.5,8990,upcoming,unisoc t612,octa core,1.8 ghz processor GHz,6 gb ram,128 gb inbuilt,5500mAh 15W,Fast Charging,"dual sim, 3g, 4g, volte",wi-fi,6.68 inch,"720 x 1608 px, 90 Hz",no punch hole,memory card supported,android v14,50 mp dual rear & 5 mp front camera,https://cdn1.smartprix.com/rx-iizgpry64-w280-h280/vivo-y19s.webp
