Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
apple iphone 15,81,4.65,60100,launched,bionic a16,hexa core,3.46 ghz processor GHz,6 gb ram,128 gb inbuilt,3349mAh,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.1 inch,1179 x 2556 px,no punch hole,memory card not supported,ios v17,48 mp + 12 mp dual rear & 12 mp front camera,https://cdn1.smartprix.com/rx-iwlt056zs-w280-h280/apple-iphone-15.webp
realme gt 7,88,4.2,39998,launched,dimensity 9400e,octa core,3.4 ghz processor GHz,8 gb ram,256 gb inbuilt,7000mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.78 inch,"1264 x 2780 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 8 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-imeqo5lvj-w280-h280/realme-gt-7.webp
motorola moto g64 5g,82,4.4,14469,launched,dimensity 7025,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,6000mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi",6.5 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-izskls5yx-w280-h280/motorola-moto-g64-5g.webp
vivo v40 pro,87,4.1,38690,launched,dimensity 9200 plus,octa core,3.35 ghz processor GHz,8 gb ram,256 gb inbuilt,5500mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.78 inch,"1260 x 2800 px, 120 Hz",with punch hole,memory card not supported,android v14,50 mp + 50 mp + 50 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ioaker8py-w280-h280/vivo-v40-pro.webp
cmf phone 2 pro,83,4.5,18091,launched,dimensity 7300 pro,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.77 inch,"1080 x 2392 px, 120 Hz",with punch hole,"memory card (hybrid), upto 2 tb",android v15,50 mp + 50 mp + 8 mp triple rear & 16 mp front camera,https://cdn1.smartprix.com/rx-iybb8nsjq-w280-h280/cmf-phone-2-pro.webp
poco m7 pro 5g,77,4.0,12899,launched,dimensity 7025 ultra,octa core,2.5 ghz processor GHz,6 gb ram,128 gb inbuilt,5110mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 2 mp dual rear & 20 mp front camera,https://cdn1.smartprix.com/rx-iykjhe9g0-w280-h280/poco-m7-pro-5g.webp
vivo t4x 5g (8gb ram + 128gb),77,4.1,14999,launched,dimensity 7300,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,6500mAh 44W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.72 inch,"1080 x 2408 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 2 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-ifgajbyoi-w280-h280/vivo-t4x-5g-8gb-ram.webp
realme 13 pro plus 5g,84,4.5,21498,launched,snapdragon 7s gen2,octa core,2.4 ghz processor GHz,8 gb ram,256 gb inbuilt,5200mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.7 inch,"1080 x 2412 px, 120 Hz",with punch hole,memory card not supported,android v14,50 mp + 50 mp + 8 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ifbys4znc-w280-h280/realme-13-pro-plus-5.webp
infinix note 50x 5g,74,4.2,11400,launched,dimensity 7300 ultimate,octa core,2.5 ghz processor GHz,6 gb ram,128 gb inbuilt,5500mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.67 inch,"720 x 1600 px, 120 Hz",with punch hole,memory card (hybrid),android v15,50 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-iiuomdal7-w280-h280/infinix-note-50x-5g.webp
motorola moto g85 5g (12gb ram + 256gb),82,4.6,18270,launched,snapdragon 6s gen3,octa core,2.3 ghz processor GHz,12 gb ram,256 gb inbuilt,5000mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-iezuwmvds-w280-h280/motorola-moto-g85-5g.webp
motorola edge 60 fusion 5g (12gb ram + 256gb),85,4.75,24195,launched,dimensity 7400,octa core,2.5 ghz processor GHz,12 gb ram,256 gb inbuilt,5500mAh 68W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi",6.7 inch,"1220 x 2712 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v15,50 mp + 13 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-iuvypgfoe-w280-h280/motorola-edge-60-fus.webp
samsung galaxy f12 (4gb ram + 128gb),73,4.55,5000,launched,exynos 850,octa core,2 ghz processor GHz,4 gb ram,128 gb inbuilt,6000mAh 15W,Fast Charging,"dual sim, 3g, 4g, volte",wi-fi,6.5 inch,"720 x 1600 px, 90 Hz",no punch hole,"memory card supported, upto 512 gb",android v11,48 mp quad rear & 8 mp front camera,https://cdn1.smartprix.com/rx-inzb5nkcw-w280-h280/samsung-galaxy-f12-4.webp
apple iphone 16 pro max,89,4.2,134900,launched,bionic a18 pro,hexa core,4.05 ghz processor GHz,8 gb ram,256 gb inbuilt,4685mAh,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.9 inch,"1320 x 2868 px, 120 Hz",no punch hole,memory card not supported,ios v18,48 mp + 48 mp + 12 mp triple rear & 12 mp front camera,https://cdn1.smartprix.com/rx-iai4vthxt-w280-h280/apple-iphone-16-pro.webp
oneplus 13,91,4.35,69997,launched,snapdragon 8 elite,octa core,4.32 ghz processor GHz,12 gb ram,256 gb inbuilt,6000mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.82 inch,"1440 x 3168 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 50 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ih0mtdyms-w280-h280/oneplus-13.webp
lava storm lite 5g,70,4.25,7999,launched,dimensity 6400,octa core,2.5 ghz processor GHz,4 gb ram,64 gb inbuilt,5000mAh,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.75 inch,"720 x 1600 px, 120 Hz",no punch hole,"memory card supported, upto 1 tb",android v15,50 mp + ultra wide dual rear & 5 mp front camera,https://cdn1.smartprix.com/rx-iqeyu3hod-w280-h280/lava-storm-lite-5g.webp
samsung galaxy m55s,83,4.05,16499,launched,snapdragon 7 gen1,octa core,2.4 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.7 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp + 2 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-iiohgkbbk-w280-h280/samsung-galaxy-m55s.webp
realme gt 6,87,4.15,27999,launched,snapdragon 8s gen3,octa core,3 ghz processor GHz,8 gb ram,256 gb inbuilt,5500mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.78 inch,"1264 x 2780 px, 120 Hz",with punch hole,memory card not supported,android v14,50 mp + 50 mp + 8 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-irqnij44b-w280-h280/realme-gt-6.webp
nothing phone 3a pro,86,4.75,27178,launched,snapdragon 7s gen 3,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 50W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.77 inch,"1080 x 2392 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 8 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-izwqln3rj-w280-h280/nothing-phone-3a-pro.webp
