Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
realme narzo 80 lite,71,4.45,10499,launched,dimensity 6300,octa core,2.4 ghz processor GHz,4 gb ram,128 gb inbuilt,6000mAh 15W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"720 x 1604 px, 120 Hz",with punch hole,"memory card (hybrid), upto 2 tb",android v15,32 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-i85stnorn-w280-h280/realme-narzo-80-lite.webp
infinix gt 30 pro,88,4.25,24999,launched,dimensity 8350 ultimate,octa core,3.35 ghz processor GHz,8 gb ram,256 gb inbuilt,5500mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.78 inch,"1224 x 2720 px, 144 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,108 mp + 8 mp dual rear & 13 mp front camera,https://cdn1.smartprix.com/rx-icofttk3z-w280-h280/infinix-gt-30-pro.webp
oppo k13x 5g (8gb ram +128gb),79,4.45,14999,launched,dimensity 6300,octa core,2.4 ghz processor GHz,8 gb ram,128 gb inbuilt,6000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"720 x 1604 px, 120 Hz",with punch hole,"memory card supported, upto 2 tb",android v15,50 mp + 2 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-ixuulomiy-w280-h280/oppo-k13x-5g-8gb-ram.webp
poco m7 5g,74,4.1,8799,launched,snapdragon 4 gen2,octa core,2.2 ghz processor GHz,6 gb ram,128 gb inbuilt,5160mAh 18W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.88 inch,"720 x 1640 px, 120 Hz",no punch hole,"memory card supported, upto 1 tb",android v14,50 mp rear & 8 mp front camera,https://cdn1.smartprix.com/rx-iyjopcu3r-w280-h280/poco-m7-5g.webp
samsung galaxy a35 5g,82,4.65,19840,launched,exynos 1380,octa core,2.4 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 25W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.6 inch,"1080 x 2340 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp + 5 mp triple rear & 13 mp front camera,https://cdn1.smartprix.com/rx-iaq8maqax-w280-h280/samsung-galaxy-a35-5.webp
oneplus nord ce 4 lite 5g,81,4.7,17997,launched,snapdragon 695,octa core,2.2 ghz processor GHz,8 gb ram,128 gb inbuilt,5500mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 2 tb",android v14,50 mp + 2 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-ifvgfpssu-w280-h280/oneplus-nord-ce-4-li.webp
realme 14 pro plus 5g,83,4.05,26490,launched,snapdragon 7s gen3,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,6000mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.83 inch,"1272 x 2800 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 8 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ipwdp50ez-w280-h280/realme-14-pro-plus-5.webp
motorola moto g45 5g (8gb ram + 128gb),79,4.15,11688,launched,snapdragon 6s gen3,octa core,2.3 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 20W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.5 inch,"720 x 1600 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 2 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-ik0vbnj9z-w280-h280/motorola-moto-g45-5g.webp
samsung galaxy s25 ultra,93,4.15,129999,launched,snapdragon 8 elite,octa core,4.32 ghz processor GHz,12 gb ram,256 gb inbuilt,5000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc",6.9 inch,"1440 x 3120 px, 120 Hz",with punch hole,memory card not supported,android v15,200 mp quad rear & 12 mp front camera,https://cdn1.smartprix.com/rx-i3jzefawx-w280-h280/samsung-galaxy-s25-u.webp
vivo t4 lite 5g (8gb ram +256gb),78,4.25,12999,launched,dimensity 6300,octa core,2.4 ghz processor GHz,8 gb ram,128 gb inbuilt,6000mAh 15W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.74 inch,"720 x 1600 px, 90 Hz",no punch hole,"memory card supported, upto 2 tb",android v15,50 mp + 2 mp dual rear & 5 mp front camera,https://cdn1.smartprix.com/rx-ic3zjsusm-w280-h280/vivo-t4-lite-5g-8gb.webp
